speaker,affiliation,GroupCount,mean,mean_ci_1,mean_ci_2,median,median_ci_1,median_ci_2,cluster,centroid,silhouette
Adam Bandt,Australian Greens,12,4.876,2.237,7.947,5.051,0.712,7.434,1,5.051,NaN
Alicia Payne,Australian Labor Party,32,4.178,2.879,5.568,3.967,1.747,5.916,3,3.84633333333333,0.659946308365003
Andrew Giles,Australian Labor Party,8,4.304,2.394,6.677,3.719,1.258,7.05,3,3.84633333333333,0.659946308365003
Andrew Leigh,Australian Labor Party,10,3.319,0.585,7.467,2.224,-0.085,7.874,1,2.5064,0.659946308365003
Andrew Wallace,Liberal Party of Australia,5,-4.73,-8.811,0.612,-5.677,-10.199,4.001,2,-5.677,1
Anthony Norman Albanese,Australian Labor Party,64,3.787,2.999,4.676,3.438,1.974,4.428,5,3.5105,0.659946308365003
Barnaby Thomas Gerard Joyce,National Party of Australia,5,1.47,-1.627,4.568,1.486,-3.641,5.955,1,1.486,1
Bill Richard Shorten,Australian Labor Party,6,2.138,-1.599,5.349,2.642,-3.365,6.629,1,2.5064,0.659946308365003
David Littleproud,National Party of Australia,5,-3.741,-13.797,3.756,-3.206,-19.803,9.485,2,-3.206,1
Gordon Reid,Australian Labor Party,27,6.864,5.539,8.347,7.386,4.972,8.587,2,6.32166666666667,0.659946308365003
Graham Douglas Perrett,Australian Labor Party,37,4.148,2.635,5.486,4.26,2.669,6.369,4,4.61975,0.659946308365003
Helen Haines,Independent,19,5.241,3.583,6.865,5.318,2.506,7.957,2,5.318,1
Josh Burns,Australian Labor Party,23,3.884,2.515,5.242,3.853,1.278,5.352,3,3.84633333333333,0.659946308365003
Julian Leeser,Liberal Party of Australia,53,3.664,2.292,4.991,4.478,2.626,5.713,1,4.478,1
Kate Chaney,Independent,17,5.251,3.576,6.579,5.066,4.305,6.374,4,5.066,1
Kate Thwaites,Australian Labor Party,20,5.31,3.433,7.187,5.614,3.126,6.79,2,6.32166666666667,0.659946308365003
Linda Burney,Australian Labor Party,84,6.105,5.272,6.99,5.913,4.905,6.982,2,6.32166666666667,0.659946308365003
Luke Gosling,Australian Labor Party,26,5.975,4.89,7.107,6.143,4.417,7.684,2,6.32166666666667,0.659946308365003
Madeleine King,Australian Labor Party,15,4.465,3.178,5.817,4.488,1.654,6.799,4,4.61975,0.659946308365003
Mark Alfred Dreyfus,Australian Labor Party,54,3.97,3.094,4.962,3.583,2.988,4.947,5,3.5105,0.659946308365003
Matt Thistlethwaite,Australian Labor Party,24,5.16,4.168,6.202,5.094,3.574,7.19,4,4.61975,0.659946308365003
Michael McCormack,Liberal Party of Australia,10,3.2,1.178,5.201,3.244,0.784,5.542,3,3.244,1
Milton Dick,Australian Labor Party,10,3.262,0.113,7.864,2.677,0.444,6.162,1,2.5064,0.659946308365003
Peta Murphy,Australian Labor Party,17,3.158,1.989,5.31,2.354,0.731,4.825,1,2.5064,0.659946308365003
Peter Craig Dutton,Liberal Party of Australia,17,-2.521,-5.203,0.314,-2.996,-7.337,1.286,4,-2.996,1
Scott John Morrison,Liberal Party of Australia,9,0.415,-4.573,4.865,1.127,-7.881,7.225,5,1.127,1
Sharon Claydon,Australian Labor Party,25,5.685,4.453,6.745,5.812,4.942,6.285,2,6.32166666666667,0.659946308365003
Shayne Kenneth Neumann,Australian Labor Party,10,6.34,4.224,8.08,7.062,2.524,9.127,2,6.32166666666667,0.659946308365003
Tim Watts,Australian Labor Party,31,2.525,1.177,3.835,2.635,1.074,3.889,1,2.5064,0.659946308365003
Warren Edward Snowdon,Australian Labor Party,38,5.145,3.957,6.348,4.637,3.332,6.154,4,4.61975,0.659946308365003
Zali Steggall,Independent,32,3.896,2.516,5.297,3.449,1.818,5.86,3,3.449,1
Zoe Daniel,Independent,21,1.774,-0.011,3.586,1.828,-0.507,5.299,1,1.828,1
